Iteration,Model,AUC,Accuracy,Precision,Recall,F1Score,MCC
1,RandomForest,0.8330051116491793,0.7905122313826193,0.6899031811894882,0.5575676279901632,0.6167161226508407,0.4799034044785823
1,XGBoost,0.8425440672011624,0.7942289498580889,0.6959385290889133,0.5669572993516655,0.6248614019958113,0.48996207888646587
1,LogisticRegression,0.8255554418791469,0.7891606973915394,0.6900814835627985,0.549072211044042,0.6115537848605578,0.47520250437675265
2,RandomForest,0.8361335049589445,0.7894310041897554,0.6928807947019867,0.5562693841382366,0.6171049397886459,0.47971477255060985
2,XGBoost,0.8455423353801225,0.7954453304500608,0.7018734727124627,0.5726628267611874,0.6307185555691106,0.4961286396689614
2,LogisticRegression,0.8284668235578769,0.7899716177861873,0.7000569151963574,0.5449712007089056,0.6128550074738416,0.47876776419724526
3,RandomForest,0.8314753846225609,0.7876064333017976,0.6883189294675216,0.5493991989319092,0.6110629872540527,0.47311789470515286
3,XGBoost,0.843037146923987,0.7955804838491688,0.7027325420921888,0.566533155318202,0.6273253665147223,0.4940984634354666
3,LogisticRegression,0.8277946444983926,0.7871333964049196,0.6916714204221335,0.5396083667111704,0.60625,0.4701271831995413
4,RandomForest,0.8382732023294064,0.7890931206919855,0.6890964020873387,0.5578034682080925,0.6165376581889667,0.4783280870484541
4,XGBoost,0.8477709726437208,0.7947019867549668,0.6974040021633315,0.5733659404179635,0.6293313811615422,0.49371870840757615
4,LogisticRegression,0.8307225757294504,0.7876064333017976,0.6904694967669385,0.5460204535349044,0.6098075729360646,0.47268771916253083
5,RandomForest,0.832285415449717,0.7870658197053656,0.689795918367347,0.5576330840299164,0.6167132952195596,0.4766920084833037
5,XGBoost,0.8424729804955594,0.7942965265576429,0.6992042440318302,0.579850417949846,0.6339586339586339,0.49681305680957416
5,LogisticRegression,0.8275944225748704,0.7874712799026895,0.696163539624755,0.546854377474703,0.6125415794012565,0.47550146721882774
6,RandomForest,0.8319770650334839,0.7896337342884173,0.6919009184525466,0.5534283170080142,0.6149659863945579,0.47827758099897066
6,XGBoost,0.842113819353949,0.792742262467901,0.6950451683547769,0.565227070347284,0.6234499693063229,0.48746591754528157
6,LogisticRegression,0.8246359420434611,0.7890255439924314,0.6958261863922242,0.5418521816562778,0.6092615769712141,0.4746742636802721
7,RandomForest,0.8301073036763776,0.7846330585214218,0.6798540965207632,0.5421794584918326,0.6032615461222457,0.4635474210025324
7,XGBoost,0.8393382985089287,0.7919989187728071,0.6915450289176536,0.5618706645782054,0.6200000000000001,0.48380565300661776
7,LogisticRegression,0.8231257850766613,0.7846330585214218,0.6819988642816581,0.5374804206757664,0.6011763233637842,0.4625597492027744
8,RandomForest,0.8322193471571522,0.7907149614812813,0.6962095875139354,0.5544950055493896,0.6173236129988879,0.4816665575724637
8,XGBoost,0.841298877409116,0.793958643059873,0.7011049723756906,0.5633740288568257,0.6247384615384615,0.49055572979695744
8,LogisticRegression,0.8234010635979563,0.7888903905933234,0.6975679542203147,0.5411764705882353,0.6094999999999999,0.4750649500922565
9,RandomForest,0.8324770677067274,0.7878767401000135,0.6808275862068965,0.5546067415730337,0.6112693498452012,0.4721442048467835
9,XGBoost,0.8426433051167679,0.7915258818759292,0.6855123674911661,0.5667415730337079,0.6204945257719275,0.4826779356041208
9,LogisticRegression,0.8240052357726402,0.7872009731044736,0.684016973125884,0.5433707865168539,0.6056355666875392,0.4682761527888211
10,RandomForest,0.8342426128947377,0.7909176915799432,0.6937290033594625,0.5533720410897722,0.6156521739130435,0.48025839242039886
10,XGBoost,0.84433273696383,0.7974050547371266,0.7022963367960634,0.5736936132201876,0.6315142576204523,0.49856450943180414
10,LogisticRegression,0.8275476078571897,0.7898364643870793,0.6944286526435475,0.5455560518088433,0.6110555277638818,0.4763227345744779
