Iteration,Model,AUC,Accuracy,Precision,Recall,F1Score,MCC
1,RandomForest,0.8075408675576499,0.7336179440265637,0.7697709220674571,0.7759340914365283,0.7728402195897139,0.4508979474349485
1,XGBoost,0.8218554708697717,0.7454089584603917,0.7896555833631271,0.7688558830355071,0.7791169380915987,0.4790409684116925
1,LogisticRegression,0.8105951392719852,0.7424950870773193,0.7974074074074075,0.7494778370851706,0.7727000837420743,0.4776072072755274
2,RandomForest,0.8158336937779771,0.741275326963475,0.7805160245285202,0.7783546786662051,0.7794338532640093,0.4665896841113493
2,XGBoost,0.832188938167024,0.7598427864742157,0.806143181546552,0.7782392984885197,0.7919455207232594,0.5086203613662001
2,LogisticRegression,0.8216797648745227,0.753134105848072,0.8105835806132542,0.7564324449059652,0.7825723664577737,0.499429095156506
3,RandomForest,0.8124696758824519,0.7379548688757878,0.7743613455091897,0.7776874854887392,0.776020851433536,0.46033124133669123
3,XGBoost,0.8270860847956155,0.7514399945788439,0.7952483285577842,0.773276062224286,0.7841082989994114,0.4916338411617358
3,LogisticRegression,0.8157573044059693,0.7463576607711595,0.7996063476442367,0.7545855583933132,0.7764438869975513,0.48501133019607456
4,RandomForest,0.8094745911962313,0.7378193399742495,0.7777262718739135,0.7747633341029785,0.7762419755942398,0.4597152385628795
4,XGBoost,0.8250265792768958,0.7523209324388426,0.8009376126938333,0.769221888709305,0.7847594370178433,0.49396790931826773
4,LogisticRegression,0.81422664201024,0.7452734295588535,0.8048750155453301,0.7471715539136458,0.774950607675268,0.48423674394950367
5,RandomForest,0.807522684858285,0.7338212373788711,0.7748987854251013,0.7716852897131666,0.773288699064989,0.4510135633449596
5,XGBoost,0.821942110375667,0.7458833096157755,0.7944583781201481,0.7662711669162539,0.7801102380673155,0.4798184396944749
5,LogisticRegression,0.8112048958024225,0.7425628515280883,0.8003937976864386,0.7492224398110817,0.7739632296067116,0.4771517633151873
6,RandomForest,0.8100158953172789,0.7348377041404079,0.7720064353022293,0.7769168497744883,0.7744538590120469,0.45281459406529806
6,XGBoost,0.8279010420915496,0.753134105848072,0.7959545777146912,0.7781889672718862,0.7869715221332085,0.4937554863148472
6,LogisticRegression,0.8148027744691452,0.7433760249373179,0.7984524686809138,0.7518214409621834,0.774435642384895,0.4786196586365282
7,RandomForest,0.809950111793069,0.7342278240834859,0.7691864484904356,0.7767046776821038,0.7729272811486799,0.4526041708820811
7,XGBoost,0.8281245710596365,0.755776919428068,0.79815965583174,0.7771701186874563,0.7875250560075463,0.5007650172036001
7,LogisticRegression,0.8166021118696482,0.7466964830250051,0.8000494315373208,0.753316267163137,0.7759798633585041,0.4863558929640134
8,RandomForest,0.8115049559301283,0.7388358067357864,0.7729524248358484,0.7808681484929594,0.7768901238856084,0.462075407244921
8,XGBoost,0.8264760554313824,0.7500169411126922,0.792741165234002,0.7727219830094263,0.7826035712181036,0.48887650966966467
8,LogisticRegression,0.8139570653958035,0.7463576607711595,0.8003467921724052,0.7520074479227278,0.7754244915101698,0.4859626019134623
9,RandomForest,0.8106819423742564,0.735989699803483,0.7712288875946418,0.7741143458435636,0.7726689228614773,0.4578732353055307
9,XGBoost,0.825545723057421,0.7509656434234601,0.793784630209588,0.7704898865895008,0.7819638089587658,0.49210308773723616
9,LogisticRegression,0.8148989164011888,0.7471030697296198,0.800898764199226,0.7501461475505671,0.7746921033566772,0.48856577193980827
10,RandomForest,0.8077942947633766,0.73544758419733,0.769514585495215,0.7779461475696469,0.7737073962439137,0.4553873127905421
10,XGBoost,0.8231139028874552,0.7475096564342346,0.7913314923760355,0.768271360298403,0.7796309439318665,0.48449887905754113
10,LogisticRegression,0.8125431901723026,0.7433760249373179,0.7973442541573591,0.7489217857559156,0.7723748271924026,0.4801801168128098
