Iteration,Model,AUC,Accuracy,Precision,Recall,F1Score,MCC
1,RandomForest,0.8117071832896903,0.8923076923076924,0.9052639505986897,0.9826698275157362,0.9423800564440263,0.17797155197725398
1,XGBoost,0.8346817016410544,0.8978021978021978,0.9042219901536626,0.9909261832747487,0.9455907016654316,0.19517911816123618
1,LogisticRegression,0.8247797513822561,0.896996336996337,0.9005549389567148,0.9949317420093191,0.9453938169954949,0.1431703781291416
2,RandomForest,0.8135724229156367,0.8933333333333333,0.9064552661381653,0.9822465843082713,0.9428302183131774,0.20555113643126327
2,XGBoost,0.836165789895679,0.8977289377289377,0.9042640579493689,0.9906733207886771,0.9454985554774733,0.20695506658050303
2,LogisticRegression,0.82387303199518,0.896043956043956,0.9000296208530806,0.9943549046878835,0.9448439382749639,0.14370390898183252
3,RandomForest,0.8081609401921848,0.892967032967033,0.9058912386706949,0.9823900401343272,0.942591064481905,0.21191395571161867
3,XGBoost,0.8293244952060655,0.8968498168498168,0.9040778151889263,0.989679744450815,0.9449440838351452,0.21495673014105177
3,LogisticRegression,0.8188976642013727,0.8945787545787546,0.8984756548764244,0.9945122450651159,0.9440578470629398,0.13116924531729032
4,RandomForest,0.8065532600247538,0.8951648351648351,0.9084868619752341,0.9821239082523876,0.9438713473230045,0.20672648878953775
4,XGBoost,0.8281595836526073,0.8999267399267399,0.9064904025692733,0.9906946371724757,0.9467238689547584,0.212094002506187
4,LogisticRegression,0.818227264375845,0.8975091575091575,0.9014501331754957,0.9945310586890866,0.9457057476617379,0.13050088890597053
5,RandomForest,0.8137703299026928,0.8918681318681319,0.9044311919679927,0.9827741776720531,0.941976570485101,0.21001359846022502
5,XGBoost,0.8366407167075521,0.8965567765567766,0.9028327976679872,0.9908128947584284,0.9447790379350802,0.22102684839315123
5,LogisticRegression,0.824976138027868,0.8949450549450549,0.8983778979334864,0.9949142810269871,0.9441849602989257,0.16218829282292205
6,RandomForest,0.8145264189007049,0.8930402930402931,0.9075642965204236,0.9805491990846682,0.9426461345065996,0.20295600899578742
6,XGBoost,0.8390457957204678,0.8981684981684982,0.9053064275037369,0.9899476953252697,0.9457370393504061,0.20551215529583988
6,LogisticRegression,0.8233525726714548,0.8970695970695971,0.900880894218669,0.9946060804184373,0.9454262963682268,0.14360175370037656
7,RandomForest,0.8124207241626669,0.889010989010989,0.9045995301962567,0.9790060685583074,0.9403331889252097,0.19699024104378982
7,XGBoost,0.836768009442583,0.8942124542124542,0.9023203592814372,0.9886009512875185,0.9434922125694608,0.19760553005317236
7,LogisticRegression,0.8243716622478718,0.8936263736263736,0.8977929195674715,0.9940954567820239,0.9434931506849317,0.13798809813417448
8,RandomForest,0.8119406118400445,0.8886446886446886,0.9025920048363939,0.9810266940451745,0.940176322418136,0.1932581799811184
8,XGBoost,0.8328408450214039,0.894065934065934,0.9015644883599072,0.9892402464065708,0.9433696248139735,0.2100184620913788
8,LogisticRegression,0.8221253610830752,0.8917948717948718,0.8963983992885727,0.993511293634497,0.9424597763839652,0.13352222476721817
9,RandomForest,0.8207088303841183,0.893992673992674,0.9079425113464448,0.9811983977765062,0.9431501198287039,0.21363667995060284
9,XGBoost,0.8434065542601111,0.8986813186813187,0.9055165196591419,0.9902722145017575,0.9459997657256648,0.21443210926155018
9,LogisticRegression,0.8339596015059512,0.8967765567765568,0.9006514657980456,0.9945230115261996,0.9452624218173342,0.14264738140672348
10,RandomForest,0.808778613915849,0.8896703296703297,0.9039697542533082,0.9806414568124026,0.9407459867799811,0.1960047500354279
10,XGBoost,0.8309686878414391,0.8945054945054945,0.9017263283760556,0.989746534328603,0.9436884091975598,0.1966059243058201
10,LogisticRegression,0.8219334097913442,0.8931135531135531,0.897304901525248,0.9940940037732754,0.9432229443125656,0.13137757161817404
