Iteration,Model,AUC,Accuracy,Precision,Recall,F1Score,MCC
1,RandomForest,0.8252803472254266,0.7561839818157507,0.8026540665527294,0.8258171286719074,0.8140708641345908,0.4606283830381895
1,XGBoost,0.8411421480486754,0.7674154298703035,0.8185936373931844,0.822403806371535,0.820494298539807,0.49027745242012655
1,LogisticRegression,0.8289571134051258,0.7585907206845836,0.8222151292690711,0.799338022341746,0.8106151990349818,0.47831791713729715
2,RandomForest,0.8229830375949098,0.7541783660917235,0.8014610227159011,0.8254998969284684,0.8133028687484133,0.4542076849444299
2,XGBoost,0.8398950050939613,0.7663457681508223,0.8169100377820893,0.8245722531436818,0.820723262374968,0.4854073377763831
2,LogisticRegression,0.8272937357453013,0.7558497125284129,0.8202413720093161,0.7985982271696558,0.8092751201169835,0.4706149904036215
3,RandomForest,0.8228951941036148,0.7548469046663993,0.8009435856253764,0.8257269998965124,0.8131464968152866,0.4575046126364872
3,XGBoost,0.8380845445234331,0.7652092525738735,0.8145004601697515,0.8242781744799752,0.8193601481329081,0.4841580645525163
3,LogisticRegression,0.8258788597843647,0.7551811739537372,0.8176813128639492,0.7992341922798303,0.8083525225036634,0.46988571633795395
4,RandomForest,0.823459202538726,0.755047466238802,0.8033196680331967,0.825608878840818,0.8143117778228258,0.45509706910778075
4,XGBoost,0.8396706786578475,0.7674154298703035,0.8205496308449549,0.8223204192785942,0.8214340707283273,0.48797637934530347
4,LogisticRegression,0.8257229282113967,0.7556491509560102,0.8212774957698815,0.7980680300071935,0.8095064366498149,0.469410737634131
5,RandomForest,0.8256253596824066,0.7601952132638053,0.8081203007518797,0.8281282103965482,0.8180019280531736,0.46703026003110154
5,XGBoost,0.8423805815079269,0.7702232918839417,0.8227575602255254,0.8245325662625848,0.8236441069321155,0.4940225538204069
5,LogisticRegression,0.8302693138242959,0.760395774836208,0.825879610004239,0.8005958495993425,0.8130412102243088,0.4801955238170221
6,RandomForest,0.8274676015926015,0.7600615055488702,0.8077153707775335,0.8291782086795937,0.8183060800891003,0.465687744052202
6,XGBoost,0.8427587469798412,0.7693541917368633,0.8211116777154513,0.8259977428952499,0.8235474631751228,0.49069085044095606
6,LogisticRegression,0.8303694977854319,0.7606631902660783,0.8262617712411385,0.8011695906432749,0.813522241900198,0.4801707135929877
7,RandomForest,0.8208523260059257,0.7531087043722423,0.7981145321432154,0.8256899771736875,0.8116681115814167,0.454219172775168
7,XGBoost,0.8379395001302801,0.7639390292819895,0.8127624705520844,0.8233035899564225,0.8179990722127725,0.4823137649239854
7,LogisticRegression,0.8240870450144868,0.7554485893836075,0.8186953741206566,0.7969495746005395,0.8076761303890642,0.4724460287993366
8,RandomForest,0.8207622197920479,0.7498328653563311,0.7973479097074603,0.8190703961734429,0.8080631924497332,0.44946668910215576
8,XGBoost,0.8366560401750652,0.761665998128092,0.812732534105002,0.8177186232712904,0.8152179546985954,0.4796519979713515
8,LogisticRegression,0.8235153524726475,0.7518384810803583,0.8167578585988627,0.7916190080066549,0.8039919738092723,0.4665091710440851
9,RandomForest,0.8261982329265124,0.7541783660917235,0.7989322050972096,0.8251144402829796,0.8118122728901173,0.4582310167873003
9,XGBoost,0.841374852313147,0.7648081294290681,0.814253300330033,0.8213691219309197,0.817795732338927,0.4862135265276818
9,LogisticRegression,0.8302846769664868,0.7601283594063377,0.8209034732580439,0.8016021639617146,0.8111380145278451,0.4828902685741405
10,RandomForest,0.8229796597122423,0.7541115122342559,0.7997597116539847,0.8264018208152286,0.8128625216240968,0.45525217489955944
10,XGBoost,0.8381697076145214,0.7640058831394572,0.8144731447314473,0.8220566935650735,0.8182473483678303,0.481927293650757
10,LogisticRegression,0.8265070454464059,0.7533761198021126,0.8162768546936183,0.797951582867784,0.8070102014125032,0.46581986048893753
