Iteration,Model,AUC,Accuracy,Precision,Recall,F1Score,MCC
1,RandomForest,0.8303043424544176,0.8669847897405308,0.8891447629635512,0.9665084160552438,0.9262139134750599,0.2899692013702366
1,XGBoost,0.8505161984229743,0.8701908738443185,0.8873150771167768,0.9733275787656452,0.9283332647264644,0.29151978536105805
1,LogisticRegression,0.8395903390352217,0.8688487921264539,0.8817998134908299,0.9794561933534743,0.9280660859608227,0.2555134783640406
2,RandomForest,0.833253029024062,0.8675067104085893,0.8898156974896727,0.9663532050729013,0.926506472558832,0.29198255760126013
2,XGBoost,0.8533691163650186,0.8744407992842231,0.88957923712151,0.9758433267190061,0.93071669546614,0.31612016232621465
2,LogisticRegression,0.8386928050323654,0.8689233522218909,0.8823392176685589,0.9788629108791304,0.9280981595092024,0.25498414111876094
3,RandomForest,0.8301685532817703,0.8643006263048016,0.8864718958399492,0.9662512980269989,0.92464392182842,0.2828090947089483
3,XGBoost,0.8475896701668637,0.8718311959439308,0.8862797455430771,0.9765489788854275,0.9292272221993495,0.30930159186894984
3,LogisticRegression,0.8371578039024361,0.867804950790337,0.8795685574610073,0.9808757355486327,0.9274638955938306,0.2575800260127021
4,RandomForest,0.8281916426936812,0.8667611094542201,0.8889505830094392,0.9666206658616526,0.9261600760299161,0.28324927435763625
4,XGBoost,0.8481421671578924,0.87451535937966,0.8887581391700008,0.9771433500086252,0.9308574010928063,0.31090619148842125
4,LogisticRegression,0.8371648597497321,0.8698926334625708,0.8822479236202748,0.9803346558564775,0.9287085835682477,0.2565878862964701
5,RandomForest,0.8341602599076163,0.8669102296450939,0.8875119161105816,0.9680270340525085,0.9260226283724978,0.3047447629008057
5,XGBoost,0.8533353839778623,0.8730241574709215,0.8865315102938865,0.9775582705138203,0.9298223925495529,0.3236313154005209
5,LogisticRegression,0.8411972633435574,0.8690724724127646,0.8799409800419352,0.9818040031193137,0.9280858383159963,0.27531308023068723
6,RandomForest,0.8346831290768904,0.8682523113629586,0.890533015115354,0.9662494605092793,0.9268474435934588,0.3013572135243175
6,XGBoost,0.855109694674828,0.8740679988070384,0.8896676641990865,0.9751402675873975,0.9304451674010625,0.3182800282076041
6,LogisticRegression,0.8399143523784484,0.8693707127945124,0.882636781072457,0.9789382822615451,0.9282966358353114,0.26263589866544296
7,RandomForest,0.8351041145090305,0.8656427080226663,0.8861523794391039,0.9679770892996615,0.9252592285358773,0.3031340881281343
7,XGBoost,0.8529771997882846,0.8695943930808231,0.8849243856332704,0.975006508721687,0.9277839712622321,0.31193153589006184
7,LogisticRegression,0.840709723784415,0.8657918282135401,0.8778269993005362,0.9802134860713356,0.9261992619926199,0.2607973766916522
8,RandomForest,0.8313211946044787,0.8635550253504325,0.8857665976755293,0.9657177573337962,0.9240159441953163,0.2948415894742323
8,XGBoost,0.8498328479494943,0.8702654339397554,0.8854215918045705,0.9751779204999133,0.9281348091855278,0.31737998042385157
8,LogisticRegression,0.8398841553632389,0.8675812705040262,0.8795171339563863,0.9801249783023781,0.927099581315163,0.278274254413205
9,RandomForest,0.8393190268154764,0.8710855949895616,0.8915672235481304,0.9683746651689277,0.9283850391417802,0.3221955138669028
9,XGBoost,0.8607379958987438,0.8757828810020877,0.8901315271323935,0.9765834269420203,0.93135558302431,0.33381402808860866
9,LogisticRegression,0.8482522486406477,0.8703399940351924,0.8828842859367699,0.9796941156139289,0.9287732951054679,0.2759911460922018
10,RandomForest,0.8311123344413432,0.8668356695496571,0.8876903553299492,0.9679986161563743,0.9261067438973934,0.2942904096919425
10,XGBoost,0.8486354179815518,0.8714583954667462,0.8867746501022173,0.9754367756443522,0.9289950576606261,0.3067666526002735
10,LogisticRegression,0.8380043665876566,0.8675067104085893,0.8797640301172087,0.9802802283341983,0.9273061975864185,0.2533087564238473
